Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,MRP,Outlet_Identifier,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales
FDA15,9.3,LF,0.016047301,Dairy,250,OUT049,14,Medium,Tier 1,Supermarket Type1,3735
DRC01,5.92,Regular,0.019278216,Soft Drinks,48,OUT018,4,Medium,Tier 3,Supermarket Type2,443
FDN15,17.5,LF,0.016760075,Meat,142,OUT049,14,Medium,Tier 1,Supermarket Type1,2097
FDX07,19.2,Regular,0,Fruits and Vegetables,182,OUT010,15,Small,Tier 3,Grocery Store,732
NCD19,8.93,LF,0,Household,54,OUT013,26,High,Tier 3,Supermarket Type1,995
FDP36,10.4,Regular,0,Baking Goods,51,OUT018,4,Medium,Tier 3,Supermarket Type2,557
FDO10,13.65,Regular,0.012741089,Snack Foods,58,OUT013,26,High,Tier 3,Supermarket Type1,344
FDP10,12.6,LF,0.127469857,Snack Foods,108,OUT027,28,Medium,Tier 3,Supermarket Type3,4023
FDH17,16.2,Regular,0.016687114,Frozen Foods,97,OUT045,11,Small,Tier 2,Supermarket Type1,1077
FDU28,19.2,Regular,0.09444959,Frozen Foods,188,OUT017,6,Small,Tier 2,Supermarket Type1,4711
FDY07,11.8,LF,0,Fruits and Vegetables,46,OUT049,14,Medium,Tier 1,Supermarket Type1,1516
FDA03,18.5,Regular,0.045463773,Dairy,144,OUT046,16,Small,Tier 1,Supermarket Type1,2187
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145,OUT049,14,Medium,Tier 1,Supermarket Type1,1589
FDS46,17.6,Regular,0.047257328,Snack Foods,120,OUT046,16,Small,Tier 1,Supermarket Type1,2145
FDF32,16.35,LF,0.0680243,Fruits and Vegetables,196,OUT013,26,High,Tier 3,Supermarket Type1,1977
FDP49,9,Regular,0.069088961,Breakfast,56,OUT046,16,Small,Tier 1,Supermarket Type1,1547
NCB42,11.8,LF,0.008596051,Health and Hygiene,115,OUT018,4,Medium,Tier 3,Supermarket Type2,1622
FDP49,9,Regular,0.069196376,Breakfast,54,OUT049,14,Medium,Tier 1,Supermarket Type1,718
DRI11,12.6,LF,0.034237682,Hard Drinks,113,OUT027,28,Medium,Tier 3,Supermarket Type3,2304
FDU02,13.35,LF,0.10249212,Dairy,231,OUT035,9,Small,Tier 2,Supermarket Type1,2748
FDN22,18.85,Regular,0.138190277,Snack Foods,251,OUT013,26,High,Tier 3,Supermarket Type1,3775
FDW12,12.6,Regular,0.035399923,Baking Goods,145,OUT027,28,Medium,Tier 3,Supermarket Type3,4064
NCB30,14.6,LF,0.025698134,Household,197,OUT035,9,Small,Tier 2,Supermarket Type1,1587
FDC37,12.6,LF,0.057556998,Baking Goods,108,OUT019,28,Small,Tier 1,Grocery Store,214
FDR28,13.85,Regular,0.025896485,Frozen Foods,165,OUT046,16,Small,Tier 1,Supermarket Type1,4078
NCD06,13,LF,0.099887103,Household,46,OUT017,6,Small,Tier 2,Supermarket Type1,839
FDV10,7.65,Regular,0.066693437,Snack Foods,42,OUT035,9,Small,Tier 2,Supermarket Type1,1065
DRJ59,11.65,LF,0.019356132,Hard Drinks,39,OUT013,26,High,Tier 3,Supermarket Type1,309
FDE51,5.93,Regular,0.161466534,Dairy,46,OUT010,15,Small,Tier 3,Grocery Store,178
FDC14,12.6,Regular,0.072221801,Canned,44,OUT019,28,Small,Tier 1,Grocery Store,126
FDV38,19.25,LF,0.170348551,Dairy,56,OUT010,15,Small,Tier 3,Grocery Store,164
NCS17,18.6,LF,0.080829372,Health and Hygiene,96,OUT018,4,Medium,Tier 3,Supermarket Type2,2742
FDP33,18.7,LF,0,Snack Foods,257,OUT018,4,Medium,Tier 3,Supermarket Type2,3068
FDO23,17.85,LF,0,Breads,93,OUT045,11,Small,Tier 2,Supermarket Type1,2175
DRH01,17.5,LF,0.097904029,Soft Drinks,175,OUT046,16,Small,Tier 1,Supermarket Type1,2085
NCX29,10,LF,0.089291137,Health and Hygiene,147,OUT049,14,Medium,Tier 1,Supermarket Type1,3791
FDV20,12.6,Regular,0.059511812,Fruits and Vegetables,128,OUT027,28,Medium,Tier 3,Supermarket Type3,2798
DRZ11,8.85,Regular,0.113123893,Soft Drinks,123,OUT018,4,Medium,Tier 3,Supermarket Type2,1610
FDX10,12.6,Regular,0.123111453,Snack Foods,37,OUT027,28,Medium,Tier 3,Supermarket Type3,388
FDB34,12.6,LF,0.026480954,Snack Foods,88,OUT027,28,Medium,Tier 3,Supermarket Type3,2180
FDU02,13.35,LF,0.102511504,Dairy,231,OUT046,16,Small,Tier 1,Supermarket Type1,3436
FDK43,9.8,LF,0.02681843,Meat,126,OUT013,26,High,Tier 3,Supermarket Type1,2151
FDA46,13.6,LF,0.117818348,Snack Foods,193,OUT049,14,Medium,Tier 1,Supermarket Type1,2527
FDC02,21.35,LF,0.069102831,Canned,260,OUT018,4,Medium,Tier 3,Supermarket Type2,6769
FDL50,12.15,Regular,0.042277867,Canned,127,OUT013,26,High,Tier 3,Supermarket Type1,374
FDM39,6.42,LF,0.089498926,Dairy,178,OUT010,15,Small,Tier 3,Grocery Store,358
NCP05,19.6,LF,0,Health and Hygiene,153,OUT045,11,Small,Tier 2,Supermarket Type1,2429
FDV49,10,LF,0.025879577,Canned,265,OUT045,11,Small,Tier 2,Supermarket Type1,5815
FDL12,15.85,Regular,0.121632721,Baking Goods,61,OUT046,16,Small,Tier 1,Supermarket Type1,2577
FDS02,12.6,Regular,0.255394896,Dairy,197,OUT019,28,Small,Tier 1,Grocery Store,780
NCL17,7.39,LF,0.067779712,Health and Hygiene,144,OUT046,16,Small,Tier 1,Supermarket Type1,3135
FDM40,10.2,LF,0.159803853,Frozen Foods,142,OUT013,26,High,Tier 3,Supermarket Type1,851
FDR13,9.9,Regular,0.028696932,Canned,117,OUT013,26,High,Tier 3,Supermarket Type1,811
FDA43,10.9,LF,0.065041581,Fruits and Vegetables,196,OUT017,6,Small,Tier 2,Supermarket Type1,3121
NCP18,12.15,LF,0.028760013,Household,151,OUT017,6,Small,Tier 2,Supermarket Type1,4815
FDK21,7.91,LF,0.010053105,Snack Foods,249,OUT018,4,Medium,Tier 3,Supermarket Type2,6259
