Item_Weight,Item_Visibility_avg,Item_MRP,Years.of.Operation,Item_Outlet_Sales
9.3,0.243315005,249.8092,14,3735.138
5.92,0.292303312,48.2692,4,443.4228
17.5,0.254122343,141.618,14,2097.27
19.2,1,182.095,15,732.38
8.93,1,53.8614,26,994.7052
10.395,1,51.4008,4,556.6088
13.65,0.193185018,57.6588,26,343.5528
12.79,1.93274426,107.7622,28,4022.7636
16.2,0.253016082,96.9726,11,1076.5986
19.2,1.432078981,187.8214,6,4710.535
11.8,1,45.5402,14,1516.0266
18.5,0.689338236,144.1102,16,2187.153
15.1,1.516441005,145.4786,14,1589.2646
17.6,0.716532768,119.6782,16,2145.2076
16.35,1.031409138,196.4426,26,1977.426
9,1.047551915,56.3614,16,1547.3192
11.8,0.130336447,115.3492,4,1621.8888
9,1.04918058,54.3614,14,718.3982
12.79,0.519124167,113.2834,28,2303.668
13.35,1.554022742,230.5352,9,2748.4224
18.85,2.095291161,250.8724,26,3775.086
12.79,0.536746487,144.5444,28,4064.0432
14.6,0.38964444,196.5084,9,1587.2672
12.79,0.872700105,107.6938,28,214.3876
13.85,0.392651909,165.021,16,4078.025
13,1.514524528,45.906,6,838.908
7.645,1.01123011,42.3112,9,1065.28
11.65,0.293484702,39.1164,26,308.9312
5.925,2.448214222,45.5086,15,178.4344
12.79,1.095053173,43.6454,28,125.8362
19.25,2.582886589,55.7956,15,163.7868
18.6,1.22556429,96.4436,4,2741.7644
18.7,1,256.6672,4,3068.0064
17.85,1,93.1436,11,2174.5028
17.5,1.48445644,174.8738,16,2085.2856
10,1.353864644,146.7102,14,3791.0652
12.79,0.902339704,128.0678,28,2797.6916
8.85,1.715225545,122.5388,4,1609.9044
12.79,1.866660556,36.9874,28,388.1614
12.79,0.401513841,87.6198,28,2180.495
13.35,1.554316649,230.6352,16,3435.528
9.8,0.406630774,126.002,26,2150.534
13.6,1.786404576,192.9136,14,2527.3768
21.35,1.047762217,259.9278,4,6768.5228
12.15,0.641032372,126.5046,26,373.5138
6.42,1.357015216,178.1002,15,358.2004
19.6,1,153.3024,11,2428.8384
10,0.392395544,265.2226,11,5815.0972
