Item_Identifier,Item_type_combined_Drinks,Item_type_combined_Food,Item_type_combined_Non-Consumable,Item_Weight,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular,Item_Visibility_avg,Item_MRP,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Years.of.Operation,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Outlet_Sales
FDA15,0,1,0,9.3,1,0,0,0.243315005,249.8092,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,3735.138
DRC01,1,0,0,5.92,0,0,1,0.292303312,48.2692,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,443.4228
FDN15,0,1,0,17.5,1,0,0,0.254122343,141.618,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,2097.27
FDX07,0,1,0,19.2,0,0,1,1,182.095,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,732.38
NCD19,0,0,1,8.93,0,1,0,1,53.8614,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,994.7052
FDP36,0,1,0,10.395,0,0,1,1,51.4008,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,556.6088
FDO10,0,1,0,13.65,0,0,1,0.193185018,57.6588,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,343.5528
FDP10,0,1,0,12.79,1,0,0,1.93274426,107.7622,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,4022.7636
FDH17,0,1,0,16.2,0,0,1,0.253016082,96.9726,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1076.5986
FDU28,0,1,0,19.2,0,0,1,1.432078981,187.8214,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,4710.535
FDY07,0,1,0,11.8,1,0,0,1,45.5402,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1516.0266
FDA03,0,1,0,18.5,0,0,1,0.689338236,144.1102,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2187.153
FDX32,0,1,0,15.1,0,0,1,1.516441005,145.4786,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1589.2646
FDS46,0,1,0,17.6,0,0,1,0.716532768,119.6782,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2145.2076
FDF32,0,1,0,16.35,1,0,0,1.031409138,196.4426,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,1977.426
FDP49,0,1,0,9,0,0,1,1.047551915,56.3614,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1547.3192
NCB42,0,0,1,11.8,0,1,0,0.130336447,115.3492,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,1621.8888
FDP49,0,1,0,9,0,0,1,1.04918058,54.3614,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,718.3982
