"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","log_MRP","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","predict"
12.6,"LF",0.127469857,"Snack Foods",2.032466449,28,"Medium","Tier 3","Supermarket Type3",3.41051211149701
11.8,"LF",0,"Fruits and Vegetables",1.658394934,14,"Medium","Tier 1","Supermarket Type1",2.82482278574999
17.6,"Regular",0.047257328,"Snack Foods",2.078015049,16,"Small","Tier 1","Supermarket Type1",3.23209573303374
9,"Regular",0.069088961,"Breakfast",1.750981772,16,"Small","Tier 1","Supermarket Type1",2.85663177318216
13.35,"LF",0.10249212,"Dairy",2.362737246,9,"Small","Tier 2","Supermarket Type1",3.52006304361534
18.6,"LF",0.080829372,"Health and Hygiene",1.984273413,4,"Medium","Tier 3","Supermarket Type2",3.07030571103541
10,"LF",0.089291137,"Health and Hygiene",2.166460309,14,"Medium","Tier 1","Supermarket Type1",3.34882892182344
19.6,"LF",0,"Health and Hygiene",2.185548954,11,"Small","Tier 2","Supermarket Type1",3.34527971335015
15.85,"Regular",0.121632721,"Baking Goods",1.78263026,16,"Small","Tier 1","Supermarket Type1",2.93691540774793
12.6,"Regular",0.255394896,"Dairy",2.294200277,28,"Small","Tier 1","Grocery Store",2.60463032165602
10.9,"LF",0.065041581,"Fruits and Vegetables",2.293095929,6,"Small","Tier 2","Supermarket Type1",3.47842770630577
9.2,"LF",0.048157338,"Household",2.02596991,11,"Small","Tier 2","Supermarket Type1",3.18000179204199
12.6,"LF",0.026015519,"Snack Foods",2.407960977,28,"Medium","Tier 3","Supermarket Type3",3.79545015738025
8.65,"LF",0.143422643,"Health and Hygiene",1.981551336,16,"Small","Tier 1","Supermarket Type1",3.1441063185675
19,"LF",0.112556507,"Frozen Foods",2.021032925,6,"Small","Tier 2","Supermarket Type1",3.18289412532418
11.8,"Regular",0.014087057,"Frozen Foods",2.256078579,16,"Small","Tier 1","Supermarket Type1",3.41501910191189
12.6,"LF",0.293417759,"Household",2.289173186,28,"Small","Tier 1","Grocery Store",2.6042480238138
12.6,"Regular",0.039057677,"Breakfast",2.19302158,28,"Medium","Tier 3","Supermarket Type3",3.53804426593746
12.6,"LF",0.028459761,"Household",2.176006708,28,"Medium","Tier 3","Supermarket Type3",3.56584540428599
8.75,"Regular",0.074627201,"Fruits and Vegetables",2.273824146,16,"Small","Tier 1","Supermarket Type1",3.44749261705993
14.15,"LF",0.035913805,"Soft Drinks",1.617145082,26,"High","Tier 3","Supermarket Type1",2.75798296949219
8.89,"LF",0.005505481,"Frozen Foods",2.010306742,6,"Small","Tier 2","Supermarket Type1",3.1767022537434
12.6,"LF",0.033809913,"Canned",2.256711975,28,"Medium","Tier 3","Supermarket Type3",3.65620927732748
16,"LF",0.060836524,"Starchy Foods",2.355720404,9,"Small","Tier 2","Supermarket Type1",3.53507172581274
5.47,"Regular",0,"Baking Goods",2.122421013,4,"Medium","Tier 3","Supermarket Type2",3.21745987208775
7.27,"LF",0.071077939,"Soft Drinks",2.057863051,16,"Small","Tier 1","Supermarket Type1",3.22419522068231
17.7,"LF",0.291865402,"Fruits and Vegetables",2.061389894,15,"Small","Tier 3","Grocery Store",2.36663471319275
14.6,"LF",0.059582996,"Others",2.378132155,14,"Medium","Tier 1","Supermarket Type1",3.56804043901978
15.1,"LF",0.052339069,"Meat",2.385161385,16,"Small","Tier 1","Supermarket Type1",3.55314649254351
