Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Outlet_Identifier,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,log_sales
FDA15,9.3,LF,0.016047301,Dairy,2.397608429,OUT049,14,Medium,Tier 1,Supermarket Type1,3.572306652
DRC01,5.92,Regular,0.019278216,Soft Drinks,1.683670101,OUT018,4,Medium,Tier 3,Supermarket Type2,2.64681802
FDN15,17.5,LF,0.016760075,Meat,2.151118457,OUT049,14,Medium,Tier 1,Supermarket Type1,3.321654345
FDX07,19.2,Regular,0,Fruits and Vegetables,2.260298021,OUT010,15,Small,Tier 3,Grocery Store,2.864736476
NCD19,8.93,LF,0,Household,1.731277638,OUT013,26,High,Tier 3,Supermarket Type1,2.997694388
FDP36,10.4,Regular,0,Baking Goods,1.710969878,OUT018,4,Medium,Tier 3,Supermarket Type2,2.745550068
FDO10,13.65,Regular,0.012741089,Snack Foods,1.7608656,OUT013,26,High,Tier 3,Supermarket Type1,2.535993492
FDP10,12.6,LF,0.127469857,Snack Foods,2.032466449,OUT027,28,Medium,Tier 3,Supermarket Type3,3.604524512
FDH17,16.2,Regular,0.016687114,Frozen Foods,1.98664904,OUT045,11,Small,Tier 2,Supermarket Type1,3.032053811
FDU28,19.2,Regular,0.09444959,Frozen Foods,2.273745073,OUT017,6,Small,Tier 2,Supermarket Type1,3.673070235
FDY07,11.8,LF,0,Fruits and Vegetables,1.658394934,OUT049,14,Medium,Tier 1,Supermarket Type1,3.180706821
FDA03,18.5,Regular,0.045463773,Dairy,2.158694721,OUT046,16,Small,Tier 1,Supermarket Type1,3.339879165
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,2.162799113,OUT049,14,Medium,Tier 1,Supermarket Type1,3.20119621
FDS46,17.6,Regular,0.047257328,Snack Foods,2.078015049,OUT046,16,Small,Tier 1,Supermarket Type1,3.331469327
FDF32,16.35,LF,0.0680243,Fruits and Vegetables,2.293235674,OUT013,26,High,Tier 3,Supermarket Type1,3.29610024
FDP49,9,Regular,0.069088961,Breakfast,1.750981772,OUT046,16,Small,Tier 1,Supermarket Type1,3.189579915
NCB42,11.8,LF,0.008596051,Health and Hygiene,2.062014587,OUT018,4,Medium,Tier 3,Supermarket Type2,3.210021075
FDP49,9,Regular,0.069196376,Breakfast,1.735290633,OUT049,14,Medium,Tier 1,Supermarket Type1,2.856365236
DRI11,12.6,LF,0.034237682,Hard Drinks,2.054166275,OUT027,28,Medium,Tier 3,Supermarket Type3,3.36241989
FDU02,13.35,LF,0.10249212,Dairy,2.362737246,OUT035,9,Small,Tier 2,Supermarket Type1,3.439083479
FDN22,18.85,Regular,0.138190277,Snack Foods,2.399452885,OUT013,26,High,Tier 3,Supermarket Type1,3.57692685
FDW12,12.6,Regular,0.035399923,Baking Goods,2.160001271,OUT027,28,Medium,Tier 3,Supermarket Type3,3.608958316
NCB30,14.6,LF,0.025698134,Household,2.29338112,OUT035,9,Small,Tier 2,Supermarket Type1,3.200650042
FDC37,12.6,LF,0.057556998,Baking Goods,2.032190701,OUT019,28,Small,Tier 1,Grocery Store,2.331199663
FDR28,13.85,Regular,0.025896485,Frozen Foods,2.217539215,OUT046,16,Small,Tier 1,Supermarket Type1,3.610449884
NCD06,13,LF,0.099887103,Household,1.661869452,OUT017,6,Small,Tier 2,Supermarket Type1,2.923714336
FDV10,7.65,Regular,0.066693437,Snack Foods,1.626455343,OUT035,9,Small,Tier 2,Supermarket Type1,3.027463773
DRJ59,11.65,LF,0.019356132,Hard Drinks,1.592358879,OUT013,26,High,Tier 3,Supermarket Type1,2.489861771
FDE51,5.93,Regular,0.161466534,Dairy,1.658093475,OUT010,15,Small,Tier 3,Grocery Store,2.251478585
FDC14,12.6,Regular,0.072221801,Canned,1.639938478,OUT019,28,Small,Tier 1,Grocery Store,2.099805595
FDV38,19.25,LF,0.170348551,Dairy,1.746599952,OUT010,15,Small,Tier 3,Grocery Store,2.214278898
NCS17,18.6,LF,0.080829372,Health and Hygiene,1.984273413,OUT018,4,Medium,Tier 3,Supermarket Type2,3.438030133
FDP33,18.7,LF,0,Snack Foods,2.409370373,OUT018,4,Medium,Tier 3,Supermarket Type2,3.486856261
FDO23,17.85,LF,0,Breads,1.969153019,OUT045,11,Small,Tier 2,Supermarket Type1,3.337359971
DRH01,17.5,LF,0.097904029,Soft Drinks,2.242724747,OUT046,16,Small,Tier 1,Supermarket Type1,3.319165544
NCX29,10,LF,0.089291137,Health and Hygiene,2.166460309,OUT049,14,Medium,Tier 1,Supermarket Type1,3.578761254
FDV20,12.6,Regular,0.059511812,Fruits and Vegetables,2.107439949,OUT027,28,Medium,Tier 3,Supermarket Type3,3.446799839
DRZ11,8.85,Regular,0.113123893,Soft Drinks,2.088273623,OUT018,4,Medium,Tier 3,Supermarket Type2,3.206800087
FDX10,12.6,Regular,0.123111453,Snack Foods,1.568053804,OUT027,28,Medium,Tier 3,Supermarket Type3,2.589012346
FDB34,12.6,LF,0.026480954,Snack Foods,1.942602258,OUT027,28,Medium,Tier 3,Supermarket Type3,3.338555095
FDU02,13.35,LF,0.102511504,Dairy,2.362925591,OUT046,16,Small,Tier 1,Supermarket Type1,3.535993492
FDK43,9.8,LF,0.02681843,Meat,2.100377439,OUT013,26,High,Tier 3,Supermarket Type1,3.332546313
FDA46,13.6,LF,0.117818348,Snack Foods,2.285362846,OUT049,14,Medium,Tier 1,Supermarket Type1,3.402669995
FDC02,21.35,LF,0.069102831,Canned,2.414852731,OUT018,4,Medium,Tier 3,Supermarket Type2,3.830493896
FDL50,12.15,Regular,0.042277867,Canned,2.102106318,OUT013,26,High,Tier 3,Supermarket Type1,2.572306652
FDM39,6.42,LF,0.089498926,Dairy,2.250664407,OUT010,15,Small,Tier 3,Grocery Store,2.554126066
NCP05,19.6,LF,0,Health and Hygiene,2.185548954,OUT045,11,Small,Tier 2,Supermarket Type1,3.38539862
FDV49,10,LF,0.025879577,Canned,2.423610528,OUT045,11,Small,Tier 2,Supermarket Type1,3.764556978
FDL12,15.85,Regular,0.121632721,Baking Goods,1.78263026,OUT046,16,Small,Tier 1,Supermarket Type1,3.411054756
FDS02,12.6,Regular,0.255394896,Dairy,2.294200277,OUT019,28,Small,Tier 1,Grocery Store,2.892271403
NCL17,7.39,LF,0.067779712,Health and Hygiene,2.158004051,OUT046,16,Small,Tier 1,Supermarket Type1,3.496180245
FDM40,10.2,LF,0.159803853,Frozen Foods,2.150803703,OUT013,26,High,Tier 3,Supermarket Type1,2.929874645
FDR13,9.9,Regular,0.028696932,Canned,2.06836845,OUT013,26,High,Tier 3,Supermarket Type1,2.908991079
FDA43,10.9,LF,0.065041581,Fruits and Vegetables,2.293095929,OUT017,6,Small,Tier 2,Supermarket Type1,3.494331394
NCP18,12.15,LF,0.028760013,Household,2.180328919,OUT017,6,Small,Tier 2,Supermarket Type1,3.682602208
FDK21,7.91,LF,0.010053105,Snack Foods,2.396270503,OUT018,4,Medium,Tier 3,Supermarket Type2,3.796471644
NCX54,9.2,LF,0.048157338,Household,2.02596991,OUT045,11,Small,Tier 2,Supermarket Type1,3.325770911
DRK35,8.37,LF,0.071958197,Hard Drinks,1.580361509,OUT049,14,Medium,Tier 1,Supermarket Type1,2.901437941
FDY21,15.1,LF,0.173481304,Snack Foods,2.288944167,OUT046,16,Small,Tier 1,Supermarket Type1,3.691105815
FDI26,12.6,LF,0.061082177,Canned,2.255355496,OUT019,28,Small,Tier 1,Grocery Store,2.950448589
FDM20,10,LF,0,Fruits and Vegetables,2.392546419,OUT018,4,Medium,Tier 3,Supermarket Type2,3.503134962
FDV27,7.97,Regular,0.040071131,Meat,1.94126987,OUT045,11,Small,Tier 2,Supermarket Type1,3.026376678
FDF09,12.6,LF,0.012090074,Fruits and Vegetables,1.583026383,OUT027,28,Medium,Tier 3,Supermarket Type3,2.68547517
FDY40,12.6,Regular,0.15028599,Frozen Foods,1.708159055,OUT019,28,Small,Tier 1,Grocery Store,2.169696765
