Item_Identifier,Item_type_combined,Item_Weight,Item_Fat_Content,Item_Visibility_avg,Item_MRP,Outlet_Identifier,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,Food,9.3,Low Fat,0.243315005,249.8092,OUT049,14,Medium,Tier 1,Supermarket Type1,3735.138
DRC01,Drinks,5.92,Regular,0.292303312,48.2692,OUT018,4,Medium,Tier 3,Supermarket Type2,443.4228
FDN15,Food,17.5,Low Fat,0.254122343,141.618,OUT049,14,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,Food,19.2,Regular,1,182.095,OUT010,15,Medium,Tier 3,Grocery Store,732.38
NCD19,Non-Consumable,8.93,Non-Edible,1,53.8614,OUT013,26,High,Tier 3,Supermarket Type1,994.7052
FDP36,Food,10.395,Regular,1,51.4008,OUT018,4,Medium,Tier 3,Supermarket Type2,556.6088
FDO10,Food,13.65,Regular,0.193185018,57.6588,OUT013,26,High,Tier 3,Supermarket Type1,343.5528
FDP10,Food,12.79,Low Fat,1.93274426,107.7622,OUT027,28,Medium,Tier 3,Supermarket Type3,4022.7636
FDH17,Food,16.2,Regular,0.253016082,96.9726,OUT045,11,Medium,Tier 2,Supermarket Type1,1076.5986
FDU28,Food,19.2,Regular,1.432078981,187.8214,OUT017,6,Medium,Tier 2,Supermarket Type1,4710.535
FDY07,Food,11.8,Low Fat,1,45.5402,OUT049,14,Medium,Tier 1,Supermarket Type1,1516.0266
FDA03,Food,18.5,Regular,0.689338236,144.1102,OUT046,16,Small,Tier 1,Supermarket Type1,2187.153
FDX32,Food,15.1,Regular,1.516441005,145.4786,OUT049,14,Medium,Tier 1,Supermarket Type1,1589.2646
FDS46,Food,17.6,Regular,0.716532768,119.6782,OUT046,16,Small,Tier 1,Supermarket Type1,2145.2076
FDF32,Food,16.35,Low Fat,1.031409138,196.4426,OUT013,26,High,Tier 3,Supermarket Type1,1977.426
FDP49,Food,9,Regular,1.047551915,56.3614,OUT046,16,Small,Tier 1,Supermarket Type1,1547.3192
NCB42,Non-Consumable,11.8,Non-Edible,0.130336447,115.3492,OUT018,4,Medium,Tier 3,Supermarket Type2,1621.8888
FDP49,Food,9,Regular,1.04918058,54.3614,OUT049,14,Medium,Tier 1,Supermarket Type1,718.3982
DRI11,Drinks,12.79,Low Fat,0.519124167,113.2834,OUT027,28,Medium,Tier 3,Supermarket Type3,2303.668
FDU02,Food,13.35,Low Fat,1.554022742,230.5352,OUT035,9,Small,Tier 2,Supermarket Type1,2748.4224
FDN22,Food,18.85,Regular,2.095291161,250.8724,OUT013,26,High,Tier 3,Supermarket Type1,3775.086
FDW12,Food,12.79,Regular,0.536746487,144.5444,OUT027,28,Medium,Tier 3,Supermarket Type3,4064.0432
NCB30,Non-Consumable,14.6,Non-Edible,0.38964444,196.5084,OUT035,9,Small,Tier 2,Supermarket Type1,1587.2672
FDC37,Food,12.79,Low Fat,0.872700105,107.6938,OUT019,28,Small,Tier 1,Grocery Store,214.3876
FDR28,Food,13.85,Regular,0.392651909,165.021,OUT046,16,Small,Tier 1,Supermarket Type1,4078.025
NCD06,Non-Consumable,13,Non-Edible,1.514524528,45.906,OUT017,6,Medium,Tier 2,Supermarket Type1,838.908
FDV10,Food,7.645,Regular,1.01123011,42.3112,OUT035,9,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,Drinks,11.65,Low Fat,0.293484702,39.1164,OUT013,26,High,Tier 3,Supermarket Type1,308.9312
FDE51,Food,5.925,Regular,2.448214222,45.5086,OUT010,15,Medium,Tier 3,Grocery Store,178.4344
FDC14,Food,12.79,Regular,1.095053173,43.6454,OUT019,28,Small,Tier 1,Grocery Store,125.8362
FDV38,Food,19.25,Low Fat,2.582886589,55.7956,OUT010,15,Medium,Tier 3,Grocery Store,163.7868
NCS17,Non-Consumable,18.6,Non-Edible,1.22556429,96.4436,OUT018,4,Medium,Tier 3,Supermarket Type2,2741.7644
FDP33,Food,18.7,Low Fat,1,256.6672,OUT018,4,Medium,Tier 3,Supermarket Type2,3068.0064
FDO23,Food,17.85,Low Fat,1,93.1436,OUT045,11,Medium,Tier 2,Supermarket Type1,2174.5028
DRH01,Drinks,17.5,Low Fat,1.48445644,174.8738,OUT046,16,Small,Tier 1,Supermarket Type1,2085.2856
NCX29,Non-Consumable,10,Non-Edible,1.353864644,146.7102,OUT049,14,Medium,Tier 1,Supermarket Type1,3791.0652
FDV20,Food,12.79,Regular,0.902339704,128.0678,OUT027,28,Medium,Tier 3,Supermarket Type3,2797.6916
DRZ11,Drinks,8.85,Regular,1.715225545,122.5388,OUT018,4,Medium,Tier 3,Supermarket Type2,1609.9044
FDX10,Food,12.79,Regular,1.866660556,36.9874,OUT027,28,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,Food,12.79,Low Fat,0.401513841,87.6198,OUT027,28,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,Food,13.35,Low Fat,1.554316649,230.6352,OUT046,16,Small,Tier 1,Supermarket Type1,3435.528
FDK43,Food,9.8,Low Fat,0.406630774,126.002,OUT013,26,High,Tier 3,Supermarket Type1,2150.534
FDA46,Food,13.6,Low Fat,1.786404576,192.9136,OUT049,14,Medium,Tier 1,Supermarket Type1,2527.3768
FDC02,Food,21.35,Low Fat,1.047762217,259.9278,OUT018,4,Medium,Tier 3,Supermarket Type2,6768.5228
FDL50,Food,12.15,Regular,0.641032372,126.5046,OUT013,26,High,Tier 3,Supermarket Type1,373.5138
FDM39,Food,6.42,Low Fat,1.357015216,178.1002,OUT010,15,Medium,Tier 3,Grocery Store,358.2004
NCP05,Non-Consumable,19.6,Non-Edible,1,153.3024,OUT045,11,Medium,Tier 2,Supermarket Type1,2428.8384
FDV49,Food,10,Low Fat,0.392395544,265.2226,OUT045,11,Medium,Tier 2,Supermarket Type1,5815.0972
FDL12,Food,15.85,Regular,1.844239485,60.622,OUT046,16,Small,Tier 1,Supermarket Type1,2576.646
FDS02,Food,12.79,Regular,3.872390156,196.8794,OUT019,28,Small,Tier 1,Grocery Store,780.3176
NCL17,Non-Consumable,7.39,Non-Edible,1.027700606,143.8812,OUT046,16,Small,Tier 1,Supermarket Type1,3134.5864
FDM40,Food,10.195,Low Fat,2.423004049,141.5154,OUT013,26,High,Tier 3,Supermarket Type1,850.8924
FDR13,Food,9.895,Regular,0.435113304,117.0492,OUT013,26,High,Tier 3,Supermarket Type1,810.9444
FDA43,Food,10.895,Low Fat,0.98618407,196.3794,OUT017,6,Medium,Tier 2,Supermarket Type1,3121.2704
NCP18,Non-Consumable,12.15,Non-Edible,0.436069761,151.4708,OUT017,6,Medium,Tier 2,Supermarket Type1,4815.0656
FDK21,Food,7.905,Low Fat,0.152428829,249.0408,OUT018,4,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,Non-Consumable,9.195,Non-Edible,0.730179046,106.1622,OUT045,11,Medium,Tier 2,Supermarket Type1,2117.244
DRK35,Drinks,8.365,Low Fat,1.091056313,38.0506,OUT049,14,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,Food,15.1,Low Fat,2.630386528,194.511,OUT046,16,Small,Tier 1,Supermarket Type1,4910.275
FDI26,Food,12.79,Low Fat,0.926150149,180.0344,OUT019,28,Small,Tier 1,Grocery Store,892.172
FDM20,Food,10,Low Fat,1,246.9144,OUT018,4,Medium,Tier 3,Supermarket Type2,3185.1872
FDV27,Food,7.97,Regular,0.607573039,87.3514,OUT045,11,Medium,Tier 2,Supermarket Type1,1062.6168
FDF09,Food,12.79,Low Fat,0.183314092,38.2848,OUT027,28,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,Food,12.79,Regular,2.278690754,51.0692,OUT019,28,Small,Tier 1,Grocery Store,147.8076
FDY45,Food,12.79,Low Fat,0.394456746,255.8356,OUT027,28,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,Food,17.7,Low Fat,2.957695278,185.4266,OUT010,15,Medium,Tier 3,Grocery Store,184.4266
FDH19,Food,19.35,Low Fat,0.501604557,172.5738,OUT035,9,Small,Tier 2,Supermarket Type1,4865.6664
FDZ03,Food,13.65,Regular,1.197014819,186.024,OUT045,11,Medium,Tier 2,Supermarket Type1,1118.544
DRH37,Drinks,17.6,Low Fat,0.632282005,164.8526,OUT045,11,Medium,Tier 2,Supermarket Type1,2302.3364
NCI17,Non-Consumable,8.645,Non-Edible,2.174626195,95.841,OUT046,16,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,Food,15.6,Regular,1.59653728,170.1764,OUT046,16,Small,Tier 1,Supermarket Type1,3435.528
FDL12,Food,15.85,Regular,1.84270475,59.222,OUT013,26,High,Tier 3,Supermarket Type1,599.22
FDH35,Food,18.25,Low Fat,1,164.7526,OUT045,11,Medium,Tier 2,Supermarket Type1,4604.6728
FDG02,Food,7.855,Low Fat,0.17171167,189.6188,OUT017,6,Medium,Tier 2,Supermarket Type1,2285.0256
NCZ18,Non-Consumable,7.825,Non-Edible,2.82561475,254.3698,OUT049,14,Medium,Tier 1,Supermarket Type1,5580.7356
FDC29,Food,8.39,Regular,0.367015022,114.0176,OUT046,16,Small,Tier 1,Supermarket Type1,2290.352
FDQ10,Food,12.85,Low Fat,0.503857699,172.3422,OUT049,14,Medium,Tier 1,Supermarket Type1,1207.0954
FDN48,Food,12.79,Low Fat,1.724269151,89.9804,OUT019,28,Small,Tier 1,Grocery Store,643.1628
FDL04,Food,19,Low Fat,1.706622632,104.9622,OUT017,6,Medium,Tier 2,Supermarket Type1,1587.933
FDV25,Food,5.905,Low Fat,1,222.5456,OUT045,11,Medium,Tier 2,Supermarket Type1,5305.0944
FDD58,Food,7.76,Low Fat,0.899920231,101.87,OUT046,16,Small,Tier 1,Supermarket Type1,1697.79
FDN04,Food,11.8,Regular,0.213593074,180.3344,OUT046,16,Small,Tier 1,Supermarket Type1,1427.4752
FDV45,Food,16.75,Low Fat,0.685807998,187.9556,OUT018,4,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,Non-Consumable,12.79,Non-Edible,4.448906612,194.6136,OUT019,28,Small,Tier 1,Grocery Store,583.2408
FDR12,Food,12.79,Regular,0.475825947,171.3764,OUT027,28,Medium,Tier 3,Supermarket Type3,3091.9752
FDG20,Food,15.5,Regular,1.916505415,177.0028,OUT017,6,Medium,Tier 2,Supermarket Type1,2479.4392
FDZ55,Food,6.055,Low Fat,0.385183126,160.992,OUT035,9,Small,Tier 2,Supermarket Type1,2716.464
FDQ49,Food,12.79,Regular,0.592206682,155.963,OUT027,28,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,Food,6.305,Regular,1.866725921,95.6436,OUT046,16,Small,Tier 1,Supermarket Type1,661.8052
FDN27,Food,20.85,Low Fat,0.600793568,117.2808,OUT049,14,Medium,Tier 1,Supermarket Type1,1523.3504
FDW20,Food,20.75,Low Fat,0.612880807,122.173,OUT010,15,Medium,Tier 3,Grocery Store,369.519
DRG27,Drinks,8.895,Low Fat,1.5962043,39.9138,OUT049,14,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,Drinks,19.6,Low Fat,0.515068432,55.1614,OUT045,11,Medium,Tier 2,Supermarket Type1,1381.535
