Item_Identifier,Item_Identifier_group,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Visibility_avg,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,Food,9.3,Low Fat,0.016047301,0.243315005,Dairy,249.8092,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3735.138
DRC01,Drinks,5.92,Regular,0.019278216,0.292303312,Soft Drinks,48.2692,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,443.4228
FDN15,Food,17.5,Low Fat,0.016760075,0.254122343,Meat,141.618,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,Food,19.2,Regular,0.06595278,1,Fruits and Vegetables,182.095,OUT010,1998,15,Medium,Tier 3,Grocery Store,732.38
NCD19,Non-Consumable,8.93,Non-Edible,0.06595278,1,Household,53.8614,OUT013,1987,26,High,Tier 3,Supermarket Type1,994.7052
FDP36,Food,10.395,Regular,0.06595278,1,Baking Goods,51.4008,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,556.6088
FDO10,Food,13.65,Regular,0.012741089,0.193185018,Snack Foods,57.6588,OUT013,1987,26,High,Tier 3,Supermarket Type1,343.5528
FDP10,Food,12.79,Low Fat,0.127469857,1.93274426,Snack Foods,107.7622,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4022.7636
FDH17,Food,16.2,Regular,0.016687114,0.253016082,Frozen Foods,96.9726,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1076.5986
FDU28,Food,19.2,Regular,0.09444959,1.432078981,Frozen Foods,187.8214,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4710.535
FDY07,Food,11.8,Low Fat,0.06595278,1,Fruits and Vegetables,45.5402,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1516.0266
FDA03,Food,18.5,Regular,0.045463773,0.689338236,Dairy,144.1102,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2187.153
FDX32,Food,15.1,Regular,0.1000135,1.516441005,Fruits and Vegetables,145.4786,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1589.2646
FDS46,Food,17.6,Regular,0.047257328,0.716532768,Snack Foods,119.6782,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2145.2076
FDF32,Food,16.35,Low Fat,0.0680243,1.031409138,Fruits and Vegetables,196.4426,OUT013,1987,26,High,Tier 3,Supermarket Type1,1977.426
FDP49,Food,9,Regular,0.069088961,1.047551915,Breakfast,56.3614,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1547.3192
NCB42,Non-Consumable,11.8,Non-Edible,0.008596051,0.130336447,Health and Hygiene,115.3492,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1621.8888
FDP49,Food,9,Regular,0.069196376,1.04918058,Breakfast,54.3614,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,718.3982
DRI11,Drinks,12.79,Low Fat,0.034237682,0.519124167,Hard Drinks,113.2834,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2303.668
FDU02,Food,13.35,Low Fat,0.10249212,1.554022742,Dairy,230.5352,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2748.4224
FDN22,Food,18.85,Regular,0.138190277,2.095291161,Snack Foods,250.8724,OUT013,1987,26,High,Tier 3,Supermarket Type1,3775.086
FDW12,Food,12.79,Regular,0.035399923,0.536746487,Baking Goods,144.5444,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4064.0432
NCB30,Non-Consumable,14.6,Non-Edible,0.025698134,0.38964444,Household,196.5084,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1587.2672
