Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,log_sales
9.8,LF,0.047260402,Baking Goods,2.011999874,14,Medium,Tier 1,Supermarket Type1,3.28394098
7.29,LF,0.031200065,Household,2.242306329,14,Medium,Tier 1,Supermarket Type1,3.79960204
16.2,LF,0.019378432,Soft Drinks,2.194506572,16,Small,Tier 1,Supermarket Type1,3.037657688
19.5,LF,0.082888496,Canned,2.251881941,4,Medium,Tier 3,Supermarket Type2,3.098194111
6.87,Regular,0.035895934,Frozen Foods,2.388187554,14,Medium,Tier 1,Supermarket Type1,3.802983203
12.6,Regular,0.029578726,Dairy,2.157089714,28,Medium,Tier 3,Supermarket Type3,3.574776873
19.85,LF,0.176991029,Fruits and Vegetables,2.34552507,6,Small,Tier 2,Supermarket Type1,3.55121024
12.1,LF,0.029827665,Soft Drinks,2.15939994,14,Medium,Tier 1,Supermarket Type1,3.41707279
19.7,LF,0.041823046,Frozen Foods,2.033790338,11,Small,Tier 2,Supermarket Type1,3.293460144
6.87,LF,0.014072399,Soft Drinks,2.105050782,6,Small,Tier 2,Supermarket Type1,3.225088873
11.8,LF,0.058827557,Health and Hygiene,1.907743405,14,Medium,Tier 1,Supermarket Type1,3.110249144
12.6,LF,0.066828857,Household,2.05761286,28,Medium,Tier 3,Supermarket Type3,3.284241634
13.6,Regular,0.119850541,Dairy,2.370198404,6,Small,Tier 2,Supermarket Type1,3.814569867
20.5,Regular,0.112638016,Fruits and Vegetables,2.291252934,11,Small,Tier 2,Supermarket Type1,3.588266775
13.35,Regular,0.15021128,Snack Foods,2.253013132,6,Small,Tier 2,Supermarket Type1,3.430798814
6.87,LF,0.013990601,Soft Drinks,2.10607253,9,Small,Tier 2,Supermarket Type1,3.453568202
16.25,LF,0.078168739,Canned,1.960853055,16,Small,Tier 1,Supermarket Type1,3.218495382
19.85,LF,0.064409056,Health and Hygiene,2.103017861,9,Small,Tier 2,Supermarket Type1,3.243629676
18.2,Regular,0.066567121,Fruits and Vegetables,2.398303274,4,Medium,Tier 3,Supermarket Type2,3.475396639
21.35,LF,0.068765205,Canned,2.415687342,26,High,Tier 3,Supermarket Type1,3.561648584
12.6,Regular,0.037768989,Snack Foods,1.947363131,28,Medium,Tier 3,Supermarket Type3,3.266137017
5.75,Regular,0.075107656,Dairy,2.052376857,26,High,Tier 3,Supermarket Type1,3.138053484
12.6,Regular,0.072221801,Canned,1.639938478,28,Small,Tier 1,Grocery Store,2.099805595
20.1,Regular,0,Frozen Foods,2.182519076,15,Small,Tier 3,Grocery Store,2.179369648
11.5,LF,0,Fruits and Vegetables,2.108785497,14,Medium,Tier 1,Supermarket Type1,3.453568202
14.85,Regular,0.035456465,Fruits and Vegetables,2.210205583,6,Small,Tier 2,Supermarket Type1,3.567088669
