"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
6.41,"LF",0.136275173,"Snack Foods",128,"OUT035",9,"Small","Tier 2","Supermarket Type1",1017
8.76,"LF",0.050011058,"Health and Hygiene",127,"OUT013",26,"High","Tier 3","Supermarket Type1",639
15.6,"LF",0.117574554,"Frozen Foods",76,"OUT017",6,"Small","Tier 2","Supermarket Type1",1302
6.71,"LF",0.03565903,"Breads",218,"OUT045",11,"Small","Tier 2","Supermarket Type1",1959
15.7,"LF",0.16098885,"Household",58,"OUT045",11,"Small","Tier 2","Supermarket Type1",652
18.2,"LF",0.058707159,"Household",221,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3095
7.76,"LF",0.059352241,"Snack Foods",102,"OUT046",16,"Small","Tier 1","Supermarket Type1",1698
7.35,"Regular",0.014394261,"Fruits and Vegetables",241,"OUT045",11,"Small","Tier 2","Supermarket Type1",5332
12.6,"LF",0.010467749,"Household",163,"OUT019",28,"Small","Tier 1","Grocery Store",822
12.6,"Regular",0.134441765,"Starchy Foods",184,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6478
6.24,"LF",0.020198354,"Household",258,"OUT046",16,"Small","Tier 1","Supermarket Type1",518
5.77,"LF",0.081996785,"Baking Goods",40,"OUT035",9,"Small","Tier 2","Supermarket Type1",541
10,"LF",0.099804623,"Snack Foods",114,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3244
14.85,"LF",0,"Canned",188,"OUT010",15,"Small","Tier 3","Grocery Store",188
14.85,"Regular",0.016635488,"Snack Foods",158,"OUT010",15,"Small","Tier 3","Grocery Store",313
12.6,"Regular",0.021471456,"Snack Foods",131,"OUT019",28,"Small","Tier 1","Grocery Store",132
7.33,"LF",0.093307668,"Fruits and Vegetables",93,"OUT013",26,"High","Tier 3","Supermarket Type1",2007
20.25,"LF",0.0591756,"Household",245,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4681
12.6,"LF",0.063649582,"Frozen Foods",75,"OUT019",28,"Small","Tier 1","Grocery Store",75
11.6,"Regular",0.157718931,"Breakfast",168,"OUT017",6,"Small","Tier 2","Supermarket Type1",4548
8.6,"Regular",0.091195818,"Breads",130,"OUT010",15,"Small","Tier 3","Grocery Store",130
10.3,"Regular",0.018623146,"Snack Foods",88,"OUT010",15,"Small","Tier 3","Grocery Store",260
20.35,"LF",0.054056927,"Snack Foods",117,"OUT046",16,"Small","Tier 1","Supermarket Type1",2357
7.9,"Regular",0.095102092,"Breakfast",104,"OUT017",6,"Small","Tier 2","Supermarket Type1",2871
12.6,"LF",0.070556945,"Fruits and Vegetables",191,"OUT027",28,"Medium","Tier 3","Supermarket Type3",7504
16.1,"Regular",0.160379061,"Frozen Foods",34,"OUT018",4,"Medium","Tier 3","Supermarket Type2",204
12.3,"Regular",0.106492562,"Fruits and Vegetables",176,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1396
9.8,"LF",0.024432767,"Health and Hygiene",116,"OUT045",11,"Small","Tier 2","Supermarket Type1",2780
17.85,"LF",0.03781972,"Soft Drinks",192,"OUT035",9,"Small","Tier 2","Supermarket Type1",2475
12.6,"Regular",0,"Snack Foods",53,"OUT027",28,"Medium","Tier 3","Supermarket Type3",718
16.85,"LF",0.044414056,"Fruits and Vegetables",182,"OUT046",16,"Small","Tier 1","Supermarket Type1",2029
12.6,"LF",0.30374337,"Snack Foods",196,"OUT019",28,"Small","Tier 1","Grocery Store",589
12.6,"LF",0.294939214,"Frozen Foods",47,"OUT019",28,"Small","Tier 1","Grocery Store",140
6.75,"Regular",0.108679906,"Dairy",96,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1246
4.88,"Regular",0,"Baking Goods",53,"OUT035",9,"Small","Tier 2","Supermarket Type1",809
12.8,"LF",0.076369874,"Fruits and Vegetables",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1448
19.25,"Regular",0.027233781,"Meat",198,"OUT017",6,"Small","Tier 2","Supermarket Type1",982
13.65,"LF",0.065898197,"Frozen Foods",46,"OUT018",4,"Medium","Tier 3","Supermarket Type2",459
14.6,"LF",0.151180862,"Soft Drinks",48,"OUT018",4,"Medium","Tier 3","Supermarket Type2",443
12.6,"Regular",0.133279499,"Meat",113,"OUT019",28,"Small","Tier 1","Grocery Store",675
12.5,"LF",0.031549131,"Health and Hygiene",99,"OUT010",15,"Small","Tier 3","Grocery Store",197
10.3,"LF",0,"Health and Hygiene",155,"OUT013",26,"High","Tier 3","Supermarket Type1",2816
16.6,"LF",0,"Frozen Foods",55,"OUT017",6,"Small","Tier 2","Supermarket Type1",884
12.6,"LF",0.067120954,"Snack Foods",133,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3279
5.73,"LF",0.075943184,"Soft Drinks",86,"OUT010",15,"Small","Tier 3","Grocery Store",172
16.75,"LF",0.075735621,"Health and Hygiene",35,"OUT046",16,"Small","Tier 1","Supermarket Type1",324
8.16,"LF",0.119937231,"Meat",189,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2087
17.6,"Regular",0.047449835,"Snack Foods",118,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2622
11.65,"LF",0.131770922,"Baking Goods",151,"OUT045",11,"Small","Tier 2","Supermarket Type1",1518
8.77,"Regular",0.046762633,"Fruits and Vegetables",171,"OUT035",9,"Small","Tier 2","Supermarket Type1",1724
7.48,"LF",0.148492521,"Fruits and Vegetables",241,"OUT035",9,"Small","Tier 2","Supermarket Type1",1692
19,"LF",0.128814669,"Snack Foods",108,"OUT017",6,"Small","Tier 2","Supermarket Type1",1164
17,"LF",0.119362409,"Frozen Foods",249,"OUT035",9,"Small","Tier 2","Supermarket Type1",5960
6.96,"LF",0.077129323,"Soft Drinks",93,"OUT013",26,"High","Tier 3","Supermarket Type1",1733
20.7,"LF",0.021427082,"Baking Goods",157,"OUT035",9,"Small","Tier 2","Supermarket Type1",1571
13.15,"LF",0.024630755,"Household",178,"OUT013",26,"High","Tier 3","Supermarket Type1",2667
16.5,"LF",0.028476451,"Snack Foods",91,"OUT045",11,"Small","Tier 2","Supermarket Type1",1368
8.31,"Regular",0.116331694,"Snack Foods",177,"OUT017",6,"Small","Tier 2","Supermarket Type1",3011
12.6,"LF",0.026055106,"Fruits and Vegetables",170,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4211
15.1,"Regular",0.096020459,"Meat",134,"OUT013",26,"High","Tier 3","Supermarket Type1",2385
8.58,"Regular",0.071832909,"Dairy",194,"OUT035",9,"Small","Tier 2","Supermarket Type1",3316
7.71,"Regular",0.06670068,"Snack Foods",55,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1256
5.18,"LF",0.037457098,"Canned",83,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1449
16.85,"Regular",0.160760054,"Frozen Foods",192,"OUT017",6,"Small","Tier 2","Supermarket Type1",4844
12.6,"LF",0.135226962,"Health and Hygiene",56,"OUT019",28,"Small","Tier 1","Grocery Store",113
15.85,"LF",0.081719458,"Breads",178,"OUT013",26,"High","Tier 3","Supermarket Type1",2647
19.35,"Regular",0.021578923,"Fruits and Vegetables",121,"OUT017",6,"Small","Tier 2","Supermarket Type1",1808
7.15,"LF",0.017887474,"Frozen Foods",161,"OUT017",6,"Small","Tier 2","Supermarket Type1",1765
10.1,"LF",0.054630834,"Health and Hygiene",200,"OUT046",16,"Small","Tier 1","Supermarket Type1",1587
12.6,"Regular",0.076798609,"Soft Drinks",232,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8413
6.24,"LF",0.118651919,"Household",264,"OUT035",9,"Small","Tier 2","Supermarket Type1",4208
11.6,"Regular",0.077284566,"Frozen Foods",172,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4278
8.6,"Regular",0.040197932,"Canned",190,"OUT035",9,"Small","Tier 2","Supermarket Type1",3036
13.8,"Regular",0.014762987,"Canned",91,"OUT045",11,"Small","Tier 2","Supermarket Type1",1338
17.7,"LF",0.1164455,"Snack Foods",183,"OUT013",26,"High","Tier 3","Supermarket Type1",5164
13.35,"LF",0,"Snack Foods",239,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1907
6.3,"LF",0.127449031,"Canned",211,"OUT046",16,"Small","Tier 1","Supermarket Type1",6292
9,"Regular",0.050786366,"Canned",152,"OUT017",6,"Small","Tier 2","Supermarket Type1",3643
8.94,"LF",0.040410039,"Frozen Foods",53,"OUT017",6,"Small","Tier 2","Supermarket Type1",539
16,"LF",0,"Household",229,"OUT046",16,"Small","Tier 1","Supermarket Type1",1613
8.19,"LF",0.038948125,"Fruits and Vegetables",115,"OUT017",6,"Small","Tier 2","Supermarket Type1",820
7.26,"LF",0.02414202,"Meat",117,"OUT010",15,"Small","Tier 3","Grocery Store",466
11.35,"Regular",0.045073782,"Snack Foods",102,"OUT045",11,"Small","Tier 2","Supermarket Type1",2631
6.46,"Regular",0.049121972,"Fruits and Vegetables",145,"OUT013",26,"High","Tier 3","Supermarket Type1",2916
20.1,"LF",0.074778547,"Dairy",111,"OUT045",11,"Small","Tier 2","Supermarket Type1",1658
17.85,"LF",0.087963415,"Breads",193,"OUT017",6,"Small","Tier 2","Supermarket Type1",4292
12.6,"Regular",0.073562475,"Dairy",255,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8139
11.3,"Regular",0.066717378,"Frozen Foods",261,"OUT035",9,"Small","Tier 2","Supermarket Type1",4921
11.65,"LF",0.039980644,"Snack Foods",227,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4567
12.6,"Regular",0.235183205,"Canned",42,"OUT019",28,"Small","Tier 1","Grocery Store",80
17.75,"LF",0.07607772,"Baking Goods",112,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2349
12.6,"LF",0.034717799,"Canned",179,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6067
12.6,"LF",0.012865901,"Frozen Foods",59,"OUT019",28,"Small","Tier 1","Grocery Store",123
8.65,"LF",0.143713508,"Health and Hygiene",97,"OUT045",11,"Small","Tier 2","Supermarket Type1",869
6.38,"LF",0.032028115,"Dairy",178,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3212
19.35,"Regular",0.018591464,"Snack Foods",113,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1342
12.6,"LF",0.03523927,"Baking Goods",232,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5972
12.6,"LF",0.017116983,"Others",212,"OUT019",28,"Small","Tier 1","Grocery Store",213
8.79,"LF",0.025962714,"Fruits and Vegetables",121,"OUT035",9,"Small","Tier 2","Supermarket Type1",1949
14.85,"Regular",0.03525037,"Fruits and Vegetables",161,"OUT035",9,"Small","Tier 2","Supermarket Type1",2246
19.35,"Regular",0.049916364,"Fruits and Vegetables",80,"OUT017",6,"Small","Tier 2","Supermarket Type1",943
12.6,"LF",0.063831013,"Hard Drinks",46,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1305
17.1,"Regular",0.046808553,"Canned",141,"OUT046",16,"Small","Tier 1","Supermarket Type1",1405
15.6,"LF",0.037680711,"Snack Foods",124,"OUT035",9,"Small","Tier 2","Supermarket Type1",3129
10.5,"Regular",0.026520107,"Baking Goods",145,"OUT017",6,"Small","Tier 2","Supermarket Type1",2157
15.5,"Regular",0.100922503,"Fruits and Vegetables",199,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2759
8.91,"LF",0.143129124,"Frozen Foods",59,"OUT046",16,"Small","Tier 1","Supermarket Type1",1151
7.51,"LF",0.103793399,"Snack Foods",110,"OUT035",9,"Small","Tier 2","Supermarket Type1",2685
