"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
"FDH22",6.41,"LF",0.136275173,"Snack Foods",128,"OUT035",9,"Small","Tier 2","Supermarket Type1",1017
"NCB54",8.76,"LF",0.050011058,"Health and Hygiene",127,"OUT013",26,"High","Tier 3","Supermarket Type1",639
"FDC41",15.6,"LF",0.117574554,"Frozen Foods",76,"OUT017",6,"Small","Tier 2","Supermarket Type1",1302
"FDP23",6.71,"LF",0.03565903,"Breads",218,"OUT045",11,"Small","Tier 2","Supermarket Type1",1959
"NCB55",15.7,"LF",0.16098885,"Household",58,"OUT045",11,"Small","Tier 2","Supermarket Type1",652
"NCW42",18.2,"LF",0.058707159,"Household",221,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3095
"FDD58",7.76,"LF",0.059352241,"Snack Foods",102,"OUT046",16,"Small","Tier 1","Supermarket Type1",1698
"FDQ19",7.35,"Regular",0.014394261,"Fruits and Vegetables",241,"OUT045",11,"Small","Tier 2","Supermarket Type1",5332
"NCX42",12.6,"LF",0.010467749,"Household",163,"OUT019",28,"Small","Tier 1","Grocery Store",822
"FDE11",12.6,"Regular",0.134441765,"Starchy Foods",184,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6478
"NCF06",6.24,"LF",0.020198354,"Household",258,"OUT046",16,"Small","Tier 1","Supermarket Type1",518
"FDW23",5.77,"LF",0.081996785,"Baking Goods",40,"OUT035",9,"Small","Tier 2","Supermarket Type1",541
"FDD22",10,"LF",0.099804623,"Snack Foods",114,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3244
"FDT13",14.85,"LF",0,"Canned",188,"OUT010",15,"Small","Tier 3","Grocery Store",188
"FDV22",14.85,"Regular",0.016635488,"Snack Foods",158,"OUT010",15,"Small","Tier 3","Grocery Store",313
"FDT09",12.6,"Regular",0.021471456,"Snack Foods",131,"OUT019",28,"Small","Tier 1","Grocery Store",132
"FDI56",7.33,"LF",0.093307668,"Fruits and Vegetables",93,"OUT013",26,"High","Tier 3","Supermarket Type1",2007
"NCI30",20.25,"LF",0.0591756,"Household",245,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4681
